price,date_sold,suburb,num_bath,num_bed,num_parking,property_size,type,suburb_population,suburb_median_income,property_inflation_index,km_from_cbd
1600000,"Saturday, 16 October 2021",Abbotsbury,2,4,2,596,House,4253,37492,220.1,32.42
1375000,"Saturday, 13 November 2021",Abbotsbury,2,4,2,625,House,4253,37492,220.1,32.42
1430000,"Saturday, 18 September 2021",Abbotsbury,2,4,2,751,House,4253,37492,220.1,32.42
1130001,"Monday, 25 October 2021",Acacia Gardens,2,4,2,350,House,3798,47060,220.1,31.04
1420000,"Friday, 15 October 2021",Acacia Gardens,2,4,2,541,House,3798,47060,220.1,31.04
1155000,"Friday, 19 November 2021",Acacia Gardens,2,4,2,541,House,3798,47060,220.1,31.04
1120000,"Friday, 17 December 2021",Acacia Gardens,2,4,2,357,House,3798,47060,220.1,31.04
1555000,"Tuesday, 14 December 2021",Alfords Point,2,4,2,692,House,3109,43732,220.1,21.79
2825000,"Thursday, 23 September 2021",Allambie Heights,2,4,2,750,House,7009,40404,220.1,11.16
2125000,"Friday, 26 November 2021",Arncliffe,2,4,2,367,House,10590,32708,220.1,10.09
2360000,"Friday, 22 October 2021",Ashfield,2,4,2,373,House,23841,35412,220.1,8.08
3170000,"Saturday, 27 November 2021",Avalon Beach,2,4,2,917,House,9905,43628,220.1,28.35
1481000,"Friday, 24 September 2021",Avoca Beach,2,4,2,740,House,4584,39728,220.1,48.53
6200000,"Saturday, 13 November 2021",Balgowlah Heights,2,4,2,682,House,3342,59228,220.1,8.19
2860000,"Wednesday, 29 December 2021",Balmain,2,4,2,278,House,10453,69784,220.1,2.81
1490000,"Monday, 25 October 2021",Bangor,2,4,2,553,House,5568,44096,220.1,23.5
1650000,"Monday, 20 December 2021",Bangor,2,4,2,650,House,5568,44096,220.1,23.5
1550000,"Friday, 17 September 2021",Bangor,2,4,2,607,House,5568,44096,220.1,23.5
1067500,"Monday, 13 December 2021",Bardia,2,4,2,478,House,1602,47788,220.1,34.46
1150000,"Sunday, 31 October 2021",Bardia,2,4,2,477,House,1602,47788,220.1,34.46
1425000,"Friday, 17 December 2021",Bateau Bay,2,4,2,552,House,12146,30316,220.1,58.53
1405000,"Tuesday, 19 October 2021",Bateau Bay,2,4,2,524,House,12146,30316,220.1,58.53
2100000,"Saturday, 18 December 2021",Baulkham Hills,2,4,2,750,House,37050,41288,220.1,24.81
1916000,"Saturday, 18 December 2021",Baulkham Hills,2,4,2,755,House,37050,41288,220.1,24.81
2000000,"Monday, 27 September 2021",Baulkham Hills,2,4,2,1018,House,37050,41288,220.1,24.81
2225000,"Saturday, 18 September 2021",Baulkham Hills,2,4,2,700,House,37050,41288,220.1,24.81
2160000,"Saturday, 30 October 2021",Baulkham Hills,2,4,2,696,House,37050,41288,220.1,24.81
3620000,"Friday, 24 December 2021",Bayview,2,4,2,1619,House,3620,40300,220.1,23.83
1450000,"Monday, 29 November 2021",Beaumont Hills,2,4,2,605,House,9042,46488,220.1,31.01
1800000,"Tuesday, 12 October 2021",Beaumont Hills,2,4,2,600,House,9042,46488,220.1,31.01
2035000,"Friday, 26 November 2021",Beaumont Hills,2,4,2,673,House,9042,46488,220.1,31.01
2841000,"Monday, 20 December 2021",Belfield,2,4,2,733,House,6322,28496,220.1,12.24
2500000,"Tuesday, 12 October 2021",Bella Vista,2,4,2,434,House,7837,43784,220.1,27.28
2600000,"Saturday, 30 October 2021",Belrose,2,4,2,765,House,8780,39728,220.1,15.92
1320000,"Friday, 29 October 2021",Bensville,2,4,2,610,House,2545,36764,220.1,43.91
1300000,"Saturday, 9 October 2021",Bensville,2,4,2,551,House,2545,36764,220.1,43.91
1058700,"Friday, 15 October 2021",Bensville,2,4,2,543,House,2545,36764,220.1,43.91
1360000,"Tuesday, 14 December 2021",Berala,2,4,2,626,House,9049,24544,220.1,16.36
1200000,"Tuesday, 16 November 2021",Berkeley Vale,2,4,2,556,House,8355,33852,220.1,61.6
1363000,"Friday, 12 November 2021",Berowra Heights,2,4,2,752,House,5264,42848,220.1,30.03
1502000,"Saturday, 25 September 2021",Berowra Heights,2,4,2,940,House,5264,42848,220.1,30.03
1915000,"Tuesday, 16 November 2021",Beverley Park,2,4,2,518,House,2393,39208,220.1,14.44
2950000,"Wednesday, 22 September 2021",Bilgola Plateau,2,4,2,765,House,3518,46956,220.1,26.3
1290000,"Tuesday, 19 October 2021",Bligh Park,2,4,2,615,House,6366,41288,220.1,45.52
1270000,"Wednesday, 20 October 2021",Bossley Park,2,4,2,656,House,14585,25012,220.1,30.17
1100000,"Wednesday, 24 November 2021",Budgewoi,2,4,2,531,House,3360,29120,220.1,76.65
1012000,"Saturday, 30 October 2021",Buff Point,2,4,2,784,House,3511,27456,220.1,76.92
1050000,"Wednesday, 22 December 2021",Bungarribee,2,4,2,450,House,2638,50440,220.1,33.4
